# base	fc544d3b57f27f1422969fca0002cb2bff30ab17
# hardened	377c16e8de65d1b5885c4aa26e404f37b90aa2ca
# upstream	e40c72c823c6502906d4024933f0c119b5ca17cf
# target	ce3522c767bbffddaa71e7e8430e79140e4c554d
# Equality compares complete Git entries, including file mode.
# matches-base means the retained file delta is absent verbatim;
# diverged requires review. Neither is a semantic security verdict.
status	path	upstream	target
M	sys/arm/arm/elf_machdep.c	matches-base	matches-base
M	sys/arm/arm/exec_machdep.c	matches-base	matches-base
M	sys/arm/arm/machdep.c	matches-base	diverged
A	sys/arm/conf/BEAGLEBONE-ASLR	matches-base	matches-base
A	sys/arm/conf/BEAGLEBONE-HARDENEDBSD	matches-base	matches-base
A	sys/arm/conf/LATT-ASLR	matches-base	matches-base
A	sys/arm/conf/RPI2-HARDENEDBSD	matches-base	matches-base
M	sys/arm64/arm64/elf_machdep.c	matches-base	matches-base
M	sys/arm64/arm64/exec_machdep.c	matches-base	diverged
M	sys/arm64/arm64/freebsd32_machdep.c	matches-base	diverged
M	sys/arm64/arm64/pmap.c	matches-base	diverged
A	sys/arm64/conf/HARDENEDBSD	matches-base	matches-base
A	sys/arm64/conf/HARDENEDBSD-MMCCAM	matches-base	matches-base
A	sys/arm64/conf/HARDENEDBSD-NODEBUG	matches-base	matches-base
A	sys/arm64/conf/HARDENEDBSD-UP	matches-base	matches-base
M	sys/arm64/linux/linux_sysvec.c	matches-base	diverged
M	sys/arm64/nvidia/tegra210/tegra210_cpufreq.c	matches-base	matches-base
M	sys/cam/mmc/mmc_da.c	matches-base	diverged
M	sys/compat/freebsd32/freebsd32.h	matches-base	matches-base
M	sys/compat/freebsd32/freebsd32_misc.c	matches-base	diverged
M	sys/compat/ia32/ia32_sysvec.c	matches-base	matches-base
M	sys/compat/lindebugfs/lindebugfs.c	matches-base	diverged
M	sys/compat/linprocfs/linprocfs.c	matches-base	diverged
M	sys/compat/linux/linux_common.c	matches-base	diverged
M	sys/compat/linux/linux_elf.c	matches-base	diverged
M	sys/compat/linux/linux_misc.c	matches-base	diverged
M	sys/compat/linux/linux_mmap.c	matches-base	diverged
M	sys/conf/NOTES	matches-base	diverged
M	sys/conf/files	matches-base	diverged
M	sys/conf/kern.mk	matches-base	diverged
M	sys/conf/kern.opts.mk	matches-base	diverged
M	sys/conf/kmod.mk	matches-base	diverged
M	sys/conf/newvers.sh	matches-base	diverged
M	sys/conf/options	matches-base	diverged
M	sys/conf/options.amd64	matches-base	diverged
M	sys/conf/options.arm64	matches-base	matches-base
M	sys/conf/options.i386	matches-base	matches-base
M	sys/contrib/openzfs/lib/libzfs/os/freebsd/libzfs_compat.c	matches-base	diverged
M	sys/contrib/openzfs/module/zfs/zfs_vnops.c	matches-base	diverged
M	sys/ddb/db_ps.c	matches-base	diverged
M	sys/dev/axgbe/if_axgbe_pci.c	matches-base	diverged
M	sys/dev/cxgbe/iw_cxgbe/cm.c	matches-base	diverged
M	sys/dev/drm2/drm_sysctl.c	matches-base	matches-base
M	sys/dev/firewire/firewire.c	matches-base	diverged
M	sys/dev/kbd/kbd.c	matches-base	matches-base
M	sys/dev/mrsas/mrsas.c	matches-base	matches-base
M	sys/dev/netmap/netmap_freebsd.c	matches-base	diverged
M	sys/dev/qlnx/qlnxe/qlnx_os.c	matches-base	diverged
M	sys/dev/random/fortuna.c	matches-base	matches-base
M	sys/dev/sound/pcm/dsp.c	matches-base	diverged
M	sys/dev/sound/pcm/mixer.c	matches-base	diverged
M	sys/dev/usb/usb_request.c	matches-base	matches-base
M	sys/dev/virtio/p9fs/virtio_p9fs.c	matches-base	diverged
M	sys/fs/fuse/fuse_main.c	matches-base	diverged
M	sys/fs/procfs/procfs_dbregs.c	matches-base	matches-base
M	sys/fs/procfs/procfs_fpregs.c	matches-base	matches-base
M	sys/fs/procfs/procfs_mem.c	matches-base	diverged
M	sys/fs/procfs/procfs_regs.c	matches-base	matches-base
M	sys/fs/smbfs/smbfs_vfsops.c	matches-base	matches-base
